,Description,magnitude,score
52,"This is a scary boy, rescued from a cruel neighborhood who have killed all his siblings, I could save him but he remained scary.if you have yard not opening to street or an open area, or even you are ok with cats that don't like hugs and touch, you can adopt him.please help me to find a home for him I can't leave him on streets.I have operated and dewromed him, totally healthy and lovely.contact me",1.7,0.0
53,Bobby who loves watching TVs n lazying around is looking for a place to call home,0.8,0.8
54,"I found out this family behind my client factory, sorry i can't help them much.Workers nearby also can't do much, only can provide unsuitable left food to them.Please save this family.Location: Behind No.7 Jalan PJS 1/21A,Taman Petaling Utama, Petaling Jaya, Selangor, Malaysia Google Map: The workers nearby say, got 2 mother dogs, once awhile will come to feed them.Not sure how long they staying there, the environment not good, a lot flies.Worker also say original got total 12 puppies, 2 dead, 1 or 2 missing...unknown total remaining.Puppy quite friendly, bark awhile but will come out and not really scare of strangers.Location please refer to Google map i pinpoint with green arrow already.Thank You.",2.4,-0.2
55,Both kittens have no mother and they are depending on a generous and kind &quot;foster mommy&quot; for milk.I decided to foster them from SPCA Melaka because the condition there is not really safe for them as they are so vulnerable to get all kinds of viruses there.I named them Summer and Autumn.Summer is a boy and Autumn is a girl.They are so hyperactive and like to play with human.They are looking for a better home and owner to give them love.,3.3,0.3
56,"Please contact us to adopt this pet, or visit our PAWS shelter to meet our animals!",0.1,0.1
57,"Porridge the cat is looking for a place to call home.He has a vast amount of affection that needs venting and returned..If you want a cat to love while having the love returned, this is the cat you want.We will ask for a deposit to ensure you will complete certain procedures for Porridge.The money will be returned once completed..If you're interested in adopting Porridge then please contact me on my number found on the profile to find out more information, or go directly to the one in charge of the adoption Dulani.",0.8,0.0
58,"Five lovely cats are looking for new home: * They were originally rescued by a friend of mine who left the country for urgent family matter some time ago.I'm also returning to my home country shortly and looking for new home for those lovely cats.- They're bigger than normal domestic shorthair cats.But don't let the size full you.They're all very gentle and loving. :)- They take bathe quite good.Not once I got scratched while I'm bathing them (even some friendly, breed cats scratch you during bathe).-I'm not very sure about cats' age.They're all 2,3 years and above.1.Boe (Female, neutered) She is very, very friendly to people, even to strangers.Playful and very cute.You'd know she's a female from looking her acting. :)2.Mochi (Male, sprayed, vaccinated) When you look at mochi you would be reminded of Garfield the cat.He's a chubby cat but also likes to play with toys.3.Pea (Male, sprayed, vaccinated) This beautiful cat is quite big but he is the most gentle cat I ever seen.He's shy but opens up easily to women.When he does he gives you kitty massage.Green eyed and gray colored pattern are not very normal for domestic cats.4.Shorty (Male, sprayed) Shorty's name is for his short tail.He used to be abused before he came to my friend, so he gets easily scared especially by men.He reacts better for women but it still takes time for him to open up.Still, he doesn't attack anyone, if he's really scared he just hisses, that's all.He's one shy but lovely cat and sometimes surprise you with cute friendliness once he knows you're a good person.All you need to do is to give him enough time to settle and to know no one is abusing him anymore.5.Tols (Male, sprayed) This one is a cat that acts like a dog.He likes to stay on your lap and follows you around.Very playful and fun.I think he's one of the rare cats who actually enjoy bathe (but only in warm water ;)).If you are interested in any of them or need any information or pictures, please email me or call/sms at.",15.2,0.3
59,Fluffy pup for adoption.Looking for a new home asap.Active and smart.,1.1,0.3
60,19April Found kitten crossing road at Taman Kinrara Puchong.Very tame and friendly suspected lost.Contact or WhatsApp Poni.,0.9,0.3
61,"charlotte is an incredibly affectionate and friendly dog who is excellent with young children.she walks very well on a lead.she was found wandering the city area, along jalan sultan ismail.she urgently needs a home.charlotte has been recently spayed and has been given a clean bill of health by my vet.",2.1,0.4
62,"BOYSENBERRY is one of the Berries siblings rescued with their mother under a car when they were only 3 days old.Boysenberry aka fluffy berry.Looks very different from his siblings, but they r from the same litter!Very calm, sweet n happy puppy, just loves to play.Adopter to pay for the puppy's vaccination and neutering, which will be done when the puppy is older.Please call if interested.Home visit will be arranged with potential adopter.Thank u. :)",3.1,0.2
63,"This little guy came into the compounds of my house a couple of days ago and then decided to move in.I was outside with my cats, just enjoying the afternoon air.I saw him peeking from outside the gate at my cat Angie.Then he saw my foster kittens running around.He jumped inside.He looked harmless and so I let him be.I didn't think he would stick around but I was wrong.He is so very tame and affectionate which causes me to believe that he is someone's cat.But he was so skinny so I suspected that he was lost.The odd thing was that he looked at me like he knew who I was but I have never seen him around before.He even went about approaching my cats like he was family and was none too shy to attempt play with the kittens.It appears to be that he came from a multiple cat household/family.He stayed for 2 days and wouldnt leave.Fearing that someone might be looking for it, my mom and I decided to place him at this one area where we believed he might have originated from (considering several factors) in hopes that he would find his way home.Surprisingly, after a day he found his way back to my house!This prompted me to think that he may have ran away instead of gotten lost because he had found his way back to my place (I took him to that other area by car and at night so he couldn't have known the route- or so I thought).I surely hope that he wasn't abandoned by his previous owner and that is why he refuses to go home.I tried looking around for his owner but nobody seems to know where he came from.He's a very dear and loving cat.Likes to brush against people's legs and is obviously familiar with humans and other pet cats.He's not stunningly beautiful but he's got a soft friendly face and a BIG nose! =p.C'mon, Barbara Streisand has a huge nose and she's adored by many!Since no one has come forward to claim him and he wants to be someone's furkid, I've decided to put him up for adoption to anyone willing to give him a loving home.Unfortunately I cannot keep/foster him myself because I have reached full capacity for cats at my home for the time being.So I do not have the space nor the means to care for him.Adoption fees are for precautionary measures to make sure he doesn't get any joy/irresponsible adopters.He will be vaccinated and dewormed with that money.Strictly for animal lovers only who believe in the act of neutering.IF I can find donations to neuter him first I will do that before he goes to a new home.If not, you must promise to neuter him.He MUST be a FREE ROAMING cat either indoor, outdoor or both.I do not agree in caging animals unless for safety purposes or temporary health issues so if you plan to keep him in a cage 24/7, I'm sorry I will have to say no.Please understand that I will ask questions to see if you are suitable for the cat.It is not that I want to be unreasonable or difficult but I want what is best for the cat.Those interested please contact me preferably through email.Better yet, if this is your cat or you know the owner of this cat please let me know.Hopefully with sound proof that he belongs to you or that someone you know.Thank you.",12.0,0.0
64,It was rescued by me at 27th January with only few months old.Suffered from demodicosis but already cured and given Bravecto.Spayed.Female.Very happy go Lucky dog.Urgently need a foster home because got complaint by neighbourhood and dog catcher came before.,1.9,0.3
65,"Meet Miko, 2 months old male, adorable, affectionate and playful kitty looking for a home sweet home.If you can be a responsible owner and take good care of him, please contact.Potential owner must vaccinate and neuter when kitty is older.",1.7,0.5
66,"Hi.I'm moving residence and am looking for a new home and unfortunately cannot bring my 3 cats with me.Am looking for a new home for my 3 cats.They were kitten strays when i found them but nursed them back to health and are now full time house cats.They're very affectionate and friendly around people.If anyone is looking to adopt, please pm me or see my profile the other 2 cats.thanks",2.7,0.1
67,"Charcoal is obedient, adorable and smart.She is a great companion.If ur interested, The dog need to be neutered b4 adoption n the fee is borne by u.Once neutered, we will care for the dog for 2-3 days to make sure he/she is ok.If everything is fine, we will bath the dog b4 u pick up with no extra charge.Thank you NEUTERING IS COMPULSORY!",2.6,0.3
68,She has a nice hair style.She looking for home.Mother has 4 kids.1) Cookies 2) Muffin 3) Oreo 4) Mocha Please whatsapps me or call me at,1.7,0.4
69,Dog for adoption,0.1,0.1
70,"Introducing Blonde!- Blonde is about 1 months old, the gender is not known yet.- Blonde is very playful &amp; litter trainded.- Blonde have 3 more siblings which you can adopt too.PLS READ - If you live in apartment, make sure it is cat safe - Pls don't use Blonde as a cat breeder - Pls take care of Blonde with love &amp; care.â™¥",1.5,0.3
71,"Little Marble is healthy kitten with Grey eyes.She is very cute, and super naughty.Currently i feeding her with kitten food.",1.4,0.4
72,"Kristall was found in a drain, drenched wet and hungry 3 months ago..she was about 2 months old that time..after several trips to the vet to treat her skin condition, worms and vaccines she is now ready to be adopted to a good family.She is a bit shy to strangers but after short time she will warm up to anyone.she's very manja..loves to follow u around like a shadow and most of all she wants people to rub or comb her..she loves to purr and meow..she will meow when u call her name :) prefer serious cat loving family in kl (with no or just one more cat at home) and the adoption fee is only a fraction of what I've spend on her..must spay her when she is 8 mths old.i feed her blackwood everyday and once a week steam chicken or junior whiskas pouch..chicken treats everyday :)coz she loves snacks haha To those who are interested to adopt, pls email me with a short description of u and your family as well as any cat experiences you have.Thanks!",3.9,0.5
73,FRIENDLY GIRL...FUN TO PLAY WITH ...LOVE TO RUN...NEED A HOME ....NOT SURE ABOUT THE AGE ....,2.4,0.3
74,"Found her trembling on the roadside under the rain, dont know what breed is she.she is bathed, visited vet for checkup, and confirm healthy.Her body is Tri-colour.she is adorable and active and love to be with human.she learn to sit on shoulder, because she love to be high up and always sit on my shoulder without falling.I cant keep her because i have many dogs.she is extremely cute and attached to human.if interested please contact me as soon as possible.",3.7,0.3
75,"Tootsie is a dachshund mix.I found her stranded at housing estate near where I stay.She was hungry, dirty, and slightly injured at that time.She appears traumatised.I took her in, bathe her and nursed her back to health.She is healthy and strong now.She is bright and obedient dog.I have another pet dog, which happens to be a dachshund too.With my work, it is a challenge to keep 2 dogs.I am looking for a permanent home for Tootsie.Because of her small size, you don't need a large compound.",3.4,0.1
76,"2 puppies up for adoption Breed: mixed/ mongrel Gender: 1 Male (brown and white) 1 Female (black and white) Age: 2 months + Location: Alor Setar, Kedah (able to send the puppies to nearby state to someone who really interested and can give a good home to the puppies ) Contact: / A mother dog gave birth to 6 in an abandon house middle of December last year.2 puppies drown in drain.2 days back 1 more puppy died hit by car.1 was successfully adopted by a family in KL .The puppies used to stay inside the abandon house but as they grow up they are getting more active and they start to wander around the neighborhood.The residents of the area is threatening to call the council to come put down the mama dog and her puppies.Please kindly share this photos and help these puppies to get a good home !!!!",2.0,-0.1
77,"BLACKBERRY is one of the Berries siblings rescued with their mother under a car when they were only 3 days old.Blackberry is the biggest in size, coz he just loves to eat n eat!Also known as fei chai berry.A calm n happy puppy, n loves to play.Adopter to reimburse for the puppy's vaccination and neutering, which will be done when the puppy is older.Please call if interested.Home visit will be arranged with potential adopter.Thank u. :)",3.7,0.4
78,"Bobo is a lovely boy, he gets along well his other cat friends!Coco black kitten is his sibling!",0.4,0.2
79,"As for now d pups home is a at the field opposite of Buddhist Temple.No real shelter/shades from hot sunny day or raining.Usually the place will be utilised for Ghost Festival Event in August and surrounded wt a drain.Patchy and Noki are siblings out of 3 of them.My first close encounter wt dogs hence not sure the gender but from d pic I shown to my friends, they said most probably they r female.Really hope Noki n Patchy find a loving home so they hv a better life and save from dog catchers.They r playful, lovely, healthy and love to lick my hands the moment they saw me during feeding time.Am concerned wt their life n prefer if both of them adopted.I would chip in half of d spaying cost for both of them, once adopted.Their mother, Roxy, I will arrange for spaying once all d litters are adopted.My number.",4.0,0.0
80,you may refer to,0.1,0.1
81,male 2 months+ done 1 vaccine and deworm,0.0,0.0
82,"New born puppy for adoption.Mixed breed Female 1-2 month old FREE Puchong, Selangor Yesterday night just back home and my brother told me that he saw a puppy around our car park area.Than we decided to find the puppy because I heard my neighbour said is already few days there with no food and shelter.I found her hidding under the car and run to a drain hole.I carry the puppy and her stomach keep making sound (very hungry) + her body is shaking.I help her bath twice that night because her body was very dirty and i feed her milk.I try to gave her Pedigree (puppy food) but she did not want to eat,only drink.I only can let her sleep at a small box because i had no space for her.Moreover, i have a puppy at home too and my parents dont let me adopt HER because she too small and we had no time for her so i cant take care of her.Pls Share out and I hope she can find a new home.Do anyone know which pet shop around puchong area can adopt this poor puppy?Urgent.wechat: michellekoxiejing message/call:",4.1,-0.2
83,Looking for good home,0.8,0.8
84,"We named him Lusoh because of the colour of his fur.The cream spots on his fur are not sharp and has a &quot;lusuh&quot; look to it.He is very playful and obedient.He is very affectionate as well.The reason I am giving him away is because I have too many cats to take care of.If interested, please whatsapp me Whatsapp or messages only, calls will not be entertained.",2.7,0.0
85,He is a cute and adorable dog.He is very active and likes to play with people.,1.7,0.8
86,"Cutie Boy is a mixed breed of Chihuahua and Shihtzu.He's healthy and adorable.He used to be looked after by the owner's mother.But recently grandmother passed away and so Boy Boy was home alone all day long when the owner's family is away at work.His home is in Brickfields Kuala Lumpur.The owner thinks that his dog is feeling lonely.So with much reluctance, the owner is looking for someone who can give doggie a warm and loving home as well as companionship.Interested adopters can contact the owner, Mr Ng Fook Mun at.",3.7,0.4
87,"looking for local adopter, very calm kitten, trained the tray",0.9,0.9
88,These are 2 very cute and active ginger orange coloured cat.They are looking for a loving home and family to play with.,1.4,0.7
89,Found her at the stall begging for food.Bring her home for temporary shelter.Cute and very 'manja'.Love to be pet.Well potty trained.,2.6,0.3
90,"Chubby is an orphaned baby.Saw this little cheeky boy next to his lifeless mama.He was immediately brought to the vet for a thorough checkup, had a maggot wound on his leg treated.He recently had his second shot and will be neutered when he is ready Basic details as below: Gender : male Age: 5 months Vaccinated : yes, 2nd vaccination Dewormed: yes Others: distemper/parvo negative, Healthy Adoption fee is to cover the neutering fee.only for serious adopters, a pet is for life!",2.3,-0.1
91,You may contact Fosterer directly Mimi,0.1,0.1
92,Cute &amp; Active.Looking for a new home for them to live.,1.0,0.5
93,"She's a healthy, loving puppy that's looking for a forever home.",0.9,0.9
94,"Happy, white color, male puppy found at my taman (Puchong).About 3 months old.He is toilet trained to pee and poo on newspaper near the gate.Adopter must have time to care for a puppy.Adopter need to pay RM47 for the vaccination and deworn.Please call/whatapps if u can give him a good home.Pearly Tung,",1.9,0.0
95,# with MKA &amp; Microchip # Fully Vaccinated # Age: Male: 10 months Female: 4 months # Color: Male - brown &amp; white Female: Tri-color,0.0,0.0
96,He is cute and active pet.I rescued him from road.Pls help him,1.0,0.5
97,"I am only a volunteer from Second Chance dog shelter (formerly known as Pawsmission) and I help photograph these dogs.However, my first impression of Luna is that she's very beautiful and she is aware of her environment, she keeps walking here and there covering the area, she can also socialise with other dogs :)If you're interested to know more about Luna, please contact Mrs Lai at Please check out our facebook page for updates of new dogs.www.facebook.com/ProjectAnimus",1.1,0.2
98,A mix breed with dachshund breed female puppy for adoption ^^ cute and pretty Contact me if u r interesting ...( whatsapp me ),1.0,0.5
99,These pets are so good and active.,0.9,0.9
100,"Healthy, active, cute.Quite small size now coz she's abiut 3 weeks old.",1.0,0.3
101,"These kittens are 2 months old,already can eat cat food and drink water.I hope you can adopt all of them but not only one.They are very cute and like to play now.",1.1,0.5
102,"He lives in the backlane near my house.His elder sister was recently adopted, and he is lonely now.He gets bullied by other cats.I feel pity for it.If you would like to give him a home, let me know.",1.3,0.0
103,"My name is Amelia and im currently seeking for kind HEARTED samaritans/people to help me adopt this 3 little puppies which I have found.(2males and 1 Female) This puppies were originally beaten by a bunch of inhuman people which had huge sticks hitting on those puppies.I have 2 Mongral dogs with me already and my brother wants to put them to sleep..I dont allow that to be done.Whereby,I too cant afford to put them in SPCA as they informed me that they will put those puppies to sleep the next day.Here I seek kind hearted samaritans which loves dogs and also know that they too DESERVER to live a Life though they are animals.BUT THEY TOO HAVE FEELINGS AND HEART..All this puppies just need is a Loving owner,food and shelter.They are Men Best friend.Please do help me by landing your helping hand.I can be contacted at or Thank You",3.5,0.4
104,"This is Luke.He was abandoned by his family recently.Unable to fend for himself..he was skin and bones when he was rescued.I have no heart to put him back on the street after neuturing.He will not be able to survive.I knw for a fact, he has an owner before he was abandoned.Will you be able to give Luke a forever home..let him feel the love he used to have ?Give me a call at if you feel you can look after Luke.",3.0,-0.2
